"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","341","Create exercise","LMS service","2026-07-05","passed","2026-07-05","Create entity","Exercises","",""
"","30","Get exercise","LMS service","2026-07-05","passed","2026-07-05","Get entity","Exercises","",""
"","601","Login with correct email and password","LMS service","2026-07-05","passed","2026-07-05","Login","Authentication","",""
"","31","Create file","LMS service","2026-07-05","passed","2026-07-05","Create entity","Files","",""
"","333","Get exercises","LMS service","2026-07-05","passed","2026-07-05","Get entities","Exercises","",""
"","316","Create file with empty filename","LMS service","2026-07-05","passed","2026-07-05","Validate entity","Files","",""
"","39","Delete exercise","LMS service","2026-07-05","passed","2026-07-05","Delete entity","Exercises","",""
"","322","Update exercise","LMS service","2026-07-05","broken","2026-07-05","Update entity","Exercises","",""
"","613","Create file with empty directory","LMS service","2026-07-05","passed","2026-07-05","Validate entity","Files","",""
"","46","Create course","LMS service","2026-07-05","passed","2026-07-05","Create entity","Courses","",""
"","1523","Create user","LMS service","2026-07-05","passed","2026-07-05","Create entity","Users","",""
"","652","Delete file","LMS service","2026-07-05","passed","2026-07-05","Delete entity","Files","",""
"","27","Get file","LMS service","2026-07-05","passed","2026-07-05","Get entity","Files","",""
"","364","Update course","LMS service","2026-07-05","passed","2026-07-05","Update entity","Courses","",""
"","956","Get course","LMS service","2026-07-05","passed","2026-07-05","Get entities","Courses","",""
"","14","Get user me","LMS service","2026-07-05","passed","2026-07-05","Get entity","Users","",""
"","900","Create user","LMS service","2026-07-05","passed","2026-07-05","Create entity","Users","",""
"","611","Get file with incorrect file id","LMS service","2026-07-05","passed","2026-07-05","Validate entity","Files","",""
"","327","Create user","LMS service","2026-07-05","passed","2026-07-05","Create entity","Users","",""
